MD                  	REF                 
890.9200000000001   	0.0                 
891.5400000000001   	0.0                 
892.5400000000001   	0.0                 
893.5400000000001   	0.0                 
894.5400000000001   	0.0                 
895.5400000000001   	0.0                 
896.5400000000001   	0.0                 
897.5400000000001   	0.0                 
898.5400000000001   	0.0                 
899.1600000000001   	0.0                 
900.1600000000001   	0.0                 
901.1600000000001   	0.0                 
902.1600000000001   	0.0                 
903.1600000000001   	0.0                 
904.1600000000001   	0.0                 
905.1600000000001   	0.0                 
906.1600000000001   	0.0                 
906.7800000000001   	0.0                 
907.7800000000001   	0.0                 
908.7800000000001   	0.0                 
909.7800000000001   	0.0                 
910.7800000000001   	0.0                 
911.7800000000001   	0.0                 
912.7800000000001   	0.0                 
913.7800000000001   	0.0                 
914.4000000000001   	0.0                 
915.4000000000001   	0.0                 
916.4000000000001   	0.0                 
917.4000000000001   	0.0                 
918.4000000000001   	0.0                 
919.4000000000001   	0.0                 
920.4000000000001   	0.0                 
921.4000000000001   	0.0                 
922.0200000000001   	0.0                 
923.0200000000001   	0.0                 
924.0200000000001   	0.0                 
925.0200000000001   	0.0                 
926.0200000000001   	0.0                 
927.0200000000001   	0.0                 
928.0200000000001   	0.0                 
929.0200000000001   	0.0                 
929.6400000000001   	0.0                 
930.6400000000001   	0.0                 
931.6400000000001   	0.0                 
932.6400000000001   	0.0                 
933.6400000000001   	0.0                 
934.6400000000001   	0.0                 
935.6400000000001   	0.0                 
936.6400000000001   	0.0                 
937.26              	0.0                 
938.26              	0.0                 
939.26              	0.0                 
940.26              	0.0                 
941.26              	0.0                 
942.26              	0.0                 
943.26              	0.0                 
944.26              	0.0                 
944.88              	0.0                 
945.88              	0.0                 
946.88              	0.0                 
947.88              	0.0                 
948.88              	0.0                 
949.88              	0.0                 
950.88              	0.0                 
951.88              	0.0                 
952.5               	0.0                 
953.5               	0.0                 
954.5               	0.0                 
955.5               	0.0                 
956.5               	0.0                 
957.5               	0.0                 
958.5               	0.0                 
959.5               	0.0                 
960.12              	0.0                 
961.12              	0.0                 
962.12              	0.0                 
963.12              	0.0                 
964.12              	0.0                 
965.12              	0.0                 
966.12              	0.0                 
967.12              	0.0                 
967.74              	0.0                 
968.74              	0.0                 
969.74              	0.0                 
970.74              	0.0                 
971.74              	0.0                 
972.74              	0.0                 
973.74              	0.0                 
974.74              	0.0                 
975.36              	0.0                 
976.36              	0.0                 
977.36              	0.0                 
978.36              	0.0                 
979.36              	0.0                 
980.36              	0.0                 
981.36              	0.0                 
982.36              	0.0                 
982.98              	0.0                 
983.98              	0.0                 
984.98              	0.0                 
985.98              	0.0                 
986.98              	0.0                 
987.98              	0.0                 
988.98              	0.0                 
989.98              	0.0                 
990.6               	0.0                 
991.6               	0.0                 
992.6               	0.0                 
993.6               	0.0                 
994.6               	0.0                 
995.6               	0.0                 
996.6               	0.0                 
997.6               	0.0                 
998.22              	0.0                 
999.22              	0.0                 
1000.22             	0.0                 
1001.22             	0.0                 
1002.22             	0.0                 
1003.22             	0.0                 
1004.22             	0.0                 
1005.22             	0.0                 
1005.84             	0.0                 
1006.84             	0.0                 
1007.84             	0.0                 
1008.84             	0.0                 
1009.84             	0.0                 
